id,ticker,name,sector,μ,σ
56,AZO,AutoZone,Consumer Discretionary,0.2569713364096769,0.2531553222248311
35,AWK,American Water Works,Utilities,0.15148904836233912,0.22556830498500988
425,SYF,Synchrony Financial,Financials,0.04658351758097923,0.4128640383815826
429,TROW,T. Rowe Price,Financials,0.08512926657660169,0.29489512369211185
308,MDT,Medtronic,Health Care,0.034455682189086345,0.23220259909252097
67,BIO,Bio-Rad Laboratories,Health Care,0.19510506902804295,0.29927117791451074
215,GIS,General Mills,Consumer Staples,0.11044024271139308,0.215391412361989
319,TAP,Molson Coors Beverage Company,Consumer Staples,-0.07040314484313036,0.30256977463944423
251,IFF,International Flavors & Fragrances,Materials,-0.02651695294229508,0.28680745396222096
112,CSCO,Cisco Systems,Information Technology,0.02111388105343332,0.2435468698759585
185,EXPE,Expedia Group,Consumer Discretionary,0.030876234269476454,0.44389355026712685
348,ORLY,O'Reilly Automotive,Consumer Discretionary,0.21673760454273208,0.2466364099424154
420,SBUX,Starbucks,Consumer Discretionary,0.11768499773051382,0.271093523685943
404,RCL,Royal Caribbean Group,Consumer Discretionary,-0.17885354880325582,0.6037866515198302
365,PEP,PepsiCo,Consumer Staples,0.10511251486256391,0.17083057872452717
417,SO,Southern Company,Utilities,0.1015359556412104,0.21787705787949535
333,NWS,News Corp (Class B),Communication Services,0.09591072438938172,0.31065304922509684
86,COF,Capital One Financial,Financials,0.08729422924549714,0.39776439783447
168,EW,Edwards Lifesciences,Health Care,0.1838439855567901,0.3023950705417066
431,TPR,Tapestry,Consumer Discretionary,-0.027664267495125777,0.46981358065443507
207,BEN,Franklin Resources,Financials,-0.05159051336810882,0.33999255775221127
263,SJM,JM Smucker,Consumer Staples,0.053273380018958094,0.23064946431644998
422,STE,Steris,Health Care,0.1794534926968002,0.24052852575846512
242,IEX,IDEX Corporation,Industrials,0.10883404152177446,0.22764309400295524
183,ES,Eversource Energy,Utilities,0.07943876762052561,0.22223317976642673
376,PFG,Principal Financial Group,Financials,0.07102061333281193,0.34875533621372484
479,WRB,W. R. Berkley Corporation,Financials,0.1566652143484011,0.23928041250810933
224,HAS,Hasbro,Consumer Discretionary,-0.03633090879148547,0.3231687238336069
465,UNH,UnitedHealth Group,Health Care,0.19239663121433717,0.2511955462020675
177,EQR,Equity Residential,Real Estate,0.029660318573574318,0.2556194203016153
430,TTWO,Take-Two Interactive,Communication Services,0.06691276454639909,0.32833359039007953
12,AES,AES Corp,Utilities,0.1633325962695213,0.32311865861829736
75,BXP,Boston Properties,Real Estate,-0.0753089609552399,0.2986174379127911
111,CTAS,Cintas Corporation,Industrials,0.21194188627586658,0.27381479588883684
23,ALL,Allstate Corp,Financials,0.07784170668220311,0.24746209714257378
264,JNJ,Johnson & Johnson,Health Care,0.07099170800031447,0.17959775790071464
41,ADI,Analog Devices,Information Technology,0.14864778170231416,0.28734660212145685
68,TECH,Bio-Techne,Health Care,0.24176060876330693,0.2889900112943381
82,CHRW,C. H. Robinson,Industrials,0.03525825367163133,0.2620679453979782
125,COP,ConocoPhillips,Energy,0.08692290639802894,0.396182320761072
77,BMY,Bristol Myers Squibb,Health Care,0.06800925626672578,0.22555914641249558
172,ENPH,Enphase Energy,Information Technology,1.0165365779671938,0.7220487650527008
339,NTRS,Northern Trust,Financials,0.012277615211647053,0.29016083747182764
71,BK,BNY Mellon,Financials,-0.02241637949493792,0.28117192399931606
66,BBY,Best Buy,Consumer Discretionary,0.07350377507159465,0.366932315590787
103,SCHW,Charles Schwab Corporation,Financials,0.12272301289210374,0.3228225318509439
280,LRCX,Lam Research,Information Technology,0.29948480303064634,0.40671338008763835
208,FCX,Freeport-McMoRan,Materials,0.2800410321192068,0.4862594170699285
336,NKE,Nike,Consumer Discretionary,0.14710446920860915,0.29696196702774774
211,IT,Gartner,Information Technology,0.20553502142423016,0.3080908905404639
26,MO,Altria Group,Consumer Staples,-0.05267356977035484,0.2474550343051245
