Date,Open,High,Low,Close
06/01/2023,"3.647%","3.690%","3.576%","3.600%"
05/31/2023,"3.692%","3.694%","3.615%","3.647%"
05/30/2023,"3.806%","3.806%","3.687%","3.692%"
05/26/2023,"3.822%","3.855%","3.780%","3.806%"
05/25/2023,"3.750%","3.826%","3.733%","3.822%"
05/24/2023,"3.701%","3.751%","3.667%","3.750%"
05/23/2023,"3.715%","3.759%","3.690%","3.701%"
05/22/2023,"3.683%","3.725%","3.644%","3.715%"
05/19/2023,"3.651%","3.724%","3.620%","3.683%"
05/18/2023,"3.569%","3.658%","3.554%","3.651%"
05/17/2023,"3.542%","3.591%","3.513%","3.569%"
05/16/2023,"3.507%","3.575%","3.461%","3.542%"
05/15/2023,"3.468%","3.510%","3.458%","3.507%"
05/12/2023,"3.389%","3.475%","3.369%","3.468%"
05/11/2023,"3.445%","3.446%","3.343%","3.389%"
05/10/2023,"3.521%","3.528%","3.431%","3.445%"
05/09/2023,"3.513%","3.530%","3.480%","3.521%"
05/08/2023,"3.440%","3.522%","3.425%","3.513%"
05/05/2023,"3.385%","3.466%","3.372%","3.440%"
05/04/2023,"3.343%","3.544%","3.292%","3.385%"
05/03/2023,"3.429%","3.544%","3.341%","3.343%"
05/02/2023,"3.572%","3.572%","3.422%","3.429%"
05/01/2023,"3.422%","3.595%","3.422%","3.572%"
04/28/2023,"3.525%","3.552%","3.422%","3.422%"
04/27/2023,"3.450%","3.538%","3.405%","3.525%"
04/26/2023,"3.402%","3.459%","3.378%","3.450%"
04/25/2023,"3.496%","3.539%","3.383%","3.402%"
04/24/2023,"3.577%","3.577%","3.494%","3.496%"
04/21/2023,"3.538%","3.580%","3.507%","3.577%"
04/20/2023,"3.594%","3.613%","3.528%","3.538%"
04/19/2023,"3.578%","3.639%","3.578%","3.594%"
04/18/2023,"3.606%","3.607%","3.558%","3.578%"
04/17/2023,"3.520%","3.607%","3.507%","3.606%"
04/14/2023,"3.446%","3.539%","3.424%","3.520%"
04/13/2023,"3.401%","3.458%","3.373%","3.446%"
04/12/2023,"3.428%","3.461%","3.340%","3.401%"
04/11/2023,"3.417%","3.454%","3.386%","3.428%"
04/10/2023,"3.405%","3.433%","3.356%","3.417%"
04/07/2023,"3.307%","3.407%","3.279%","3.405%"
04/06/2023,"3.313%","3.362%","3.262%","3.307%"
04/05/2023,"3.342%","3.376%","3.274%","3.313%"
04/04/2023,"3.418%","3.483%","3.335%","3.342%"
04/03/2023,"3.471%","3.547%","3.400%","3.418%"
03/31/2023,"3.553%","3.590%","3.471%","3.471%"
03/30/2023,"3.573%","3.598%","3.537%","3.553%"
03/29/2023,"3.567%","3.611%","3.537%","3.573%"
03/28/2023,"3.537%","3.576%","3.502%","3.567%"
03/27/2023,"3.376%","3.547%","3.372%","3.537%"
03/24/2023,"3.422%","3.427%","3.289%","3.376%"
03/23/2023,"3.444%","3.520%","3.379%","3.422%"
03/22/2023,"3.609%","3.646%","3.442%","3.444%"
03/21/2023,"3.486%","3.611%","3.443%","3.609%"
03/20/2023,"3.430%","3.519%","3.301%","3.486%"
03/17/2023,"3.584%","3.595%","3.377%","3.430%"
03/16/2023,"3.466%","3.585%","3.368%","3.584%"
03/15/2023,"3.690%","3.709%","3.390%","3.466%"
03/14/2023,"3.577%","3.692%","3.467%","3.690%"
03/13/2023,"3.705%","3.750%","3.433%","3.577%"
03/10/2023,"3.911%","3.911%","3.682%","3.705%"
03/09/2023,"3.992%","4.018%","3.898%","3.911%"
03/08/2023,"3.970%","4.010%","3.904%","3.992%"
03/07/2023,"3.965%","4.002%","3.929%","3.970%"
03/06/2023,"3.960%","3.987%","3.900%","3.965%"
03/03/2023,"4.062%","4.072%","3.958%","3.960%"
03/02/2023,"3.995%","4.088%","3.990%","4.062%"
03/01/2023,"3.924%","4.011%","3.913%","3.995%"
02/28/2023,"3.918%","3.976%","3.904%","3.924%"
02/27/2023,"3.953%","3.980%","3.900%","3.918%"
02/24/2023,"3.883%","3.974%","3.857%","3.953%"
02/23/2023,"3.925%","3.976%","3.870%","3.883%"
02/22/2023,"3.956%","3.965%","3.895%","3.925%"
02/21/2023,"3.822%","3.962%","3.822%","3.956%"
02/20/2023,"3.822%","3.822%","3.822%","3.822%"
02/17/2023,"3.862%","3.922%","3.782%","3.822%"
02/16/2023,"3.807%","3.867%","3.764%","3.862%"
02/15/2023,"3.753%","3.822%","3.725%","3.807%"
02/14/2023,"3.705%","3.793%","3.636%","3.753%"
02/13/2023,"3.738%","3.753%","3.677%","3.705%"
02/10/2023,"3.663%","3.746%","3.659%","3.738%"
02/09/2023,"3.621%","3.687%","3.576%","3.663%"
02/08/2023,"3.677%","3.690%","3.621%","3.621%"
02/07/2023,"3.645%","3.689%","3.599%","3.677%"
02/06/2023,"3.524%","3.654%","3.524%","3.645%"
02/03/2023,"3.398%","3.546%","3.364%","3.524%"
02/02/2023,"3.424%","3.425%","3.337%","3.398%"
02/01/2023,"3.512%","3.520%","3.389%","3.424%"
01/31/2023,"3.538%","3.554%","3.488%","3.512%"
01/30/2023,"3.512%","3.573%","3.495%","3.538%"
01/27/2023,"3.497%","3.566%","3.497%","3.512%"
01/26/2023,"3.448%","3.515%","3.435%","3.497%"
01/25/2023,"3.460%","3.482%","3.422%","3.448%"
01/24/2023,"3.521%","3.549%","3.460%","3.460%"
01/23/2023,"3.480%","3.544%","3.468%","3.521%"
01/20/2023,"3.400%","3.497%","3.395%","3.480%"
01/19/2023,"3.373%","3.427%","3.320%","3.400%"
01/18/2023,"3.549%","3.559%","3.369%","3.373%"
01/17/2023,"3.505%","3.581%","3.502%","3.549%"
01/13/2023,"3.446%","3.513%","3.428%","3.505%"
01/12/2023,"3.541%","3.577%","3.422%","3.446%"
01/11/2023,"3.621%","3.621%","3.532%","3.541%"
01/10/2023,"3.539%","3.636%","3.522%","3.621%"
01/09/2023,"3.563%","3.612%","3.511%","3.539%"
01/06/2023,"3.719%","3.749%","3.552%","3.563%"
01/05/2023,"3.687%","3.783%","3.687%","3.719%"
01/04/2023,"3.746%","3.764%","3.672%","3.687%"
01/03/2023,"3.880%","3.880%","3.728%","3.746%"
