volume,volume_weighted_average_price,open,close,high,low,number_of_transactions
1.2329843e7,54.521,54.49,54.53,55.49,53.58,88961
8.424259e6,53.956,53.41,53.88,54.5,53.15,62115
9.364203e6,53.5933,53.27,53.26,54.5165,52.57,69077
1.922015e7,52.2739,52.22,52.33,53.3799,51.46,127796
1.7107906e7,51.3085,52.5,51.48,52.7,50.19,115579
6.2482832e7,47.7135,47.09,48.18,49.49,45.15,364937
2.6621433e7,47.4919,48.55,47.04,49.13,46.56,176916
1.9491604e7,47.7704,48.09,47.22,48.39,47.0217,125186
2.9954294e7,46.1134,47.66,45.79,47.66,45.43,180068
2.6340721e7,45.5219,46.1,45.18,46.2,45.08,149728
1.9748316e7,45.3971,45.59,45.93,46.17,44.4,126799
2.184731e7,47.1134,46.23,47.6,47.915,46.18,138974
1.5682126e7,47.2523,47.73,47.12,48.02,46.5,107212
1.3679638e7,47.8015,46.9,48.06,48.18,46.8,100211
1.3921673e7,47.8803,48.44,47.84,48.95,47.0,107985
2.9711999e7,50.2811,48.13,49.67,52.19,48.02,191196
2.2786308e7,49.1014,50.64,48.19,50.85,47.98,168883
2.0253592e7,51.1792,49.49,51.57,52.25,49.27,169482
1.752599e7,51.1247,51.02,50.53,52.99,49.88,138574
1.3929391e7,52.0412,51.2,52.66,52.75,51.0718,114417
1.4113823e7,54.0977,52.865,54.0,54.87,52.71,116377
1.700789e7,54.7116,54.56,54.58,55.19,53.7,105843
1.1139017e7,55.7994,54.79,56.51,56.52,54.44,89197
1.7058485e7,56.3321,56.02,56.78,57.44,55.03,115023
1.875812e7,58.0223,57.8,58.2,59.6,57.38,131270
3.8608178e7,60.0527,58.64,59.87,60.73,58.55,242446
7.4785307e7,66.2111,65.8,67.77,69.25,63.2,454341
3.1030553e7,68.0574,67.99,68.56,69.02,66.5801,199373
3.8267142e7,71.7289,68.56,71.9,73.18,68.4,228113
2.8355563e7,73.6755,72.19,73.96,74.84,71.8135,178893
2.1640233e7,71.7266,73.05,71.79,73.28,70.13,144777
1.6309182e7,71.8311,70.74,72.26,72.9,70.36,109006
2.6205181e7,72.8884,72.97,72.28,74.96,71.88,140521
2.1222895e7,71.6054,71.73,70.49,73.75,70.42,135330
3.2923248e7,70.9137,68.45,73.17,74.33,66.19,231344
1.8437432e7,72.5804,73.1,71.92,73.95,71.71,150264
6.4020054e7,76.865,78.15,74.59,80.75,73.89,418701
3.5633854e7,77.387,76.87,77.06,79.08,75.0,276188
2.4650556e7,77.0842,78.36,77.63,78.73,76.05,186225
2.0725638e7,75.2006,76.61,73.67,77.1,73.56,160411
1.9543908e7,71.8711,74.01,70.86,74.5,70.6587,148554
2.2684027e7,68.3592,70.61,66.75,71.78,66.02,210041
2.2513787e7,65.1128,67.67,66.95,67.79,61.5235,231073
2.1929344e7,65.5777,67.4,63.48,68.635,63.42,192217
2.2755091e7,67.1196,65.725,67.52,68.21,64.6001,164364
2.2683864e7,66.0263,69.4565,64.83,69.46,64.59,201484
1.4905073e7,67.7265,66.37,68.46,68.74,65.83,133717
1.5549514e7,67.798,67.72,68.1,68.815,66.6448,134539
1.5562663e7,69.439,68.24,70.28,70.49,67.18,128297
1.3335554e7,70.0685,71.07,69.25,71.86,68.57,119760
1.5785768e7,69.2771,68.32,70.2,70.82,66.96,117130
1.5957779e7,67.8254,69.21,66.72,69.9,66.68,122884
2.1378446e7,66.4069,67.11,66.23,67.11,65.77,116269
2.4228068e7,65.1913,66.89,65.21,66.89,64.35,151046
1.7868927e7,64.6612,65.15,64.27,65.63,64.11,127926
1.5581535e7,63.113,64.95,62.06,64.95,62.05,141909
1.9443764e7,60.9017,60.2,61.2,62.01,59.57,170841
1.5647167e7,60.5882,61.52,61.26,61.87,59.28,131026
2.2194849e7,63.015,62.0,62.94,64.96,61.71,168868
1.2695935e7,63.0232,62.3,62.99,64.1,61.9,96246
1.4594844e7,63.9958,63.98,63.63,64.98,63.27,107420
1.5422787e7,64.6695,64.68,63.83,66.36,63.64,118206
1.5650273e7,63.4211,64.14,64.24,64.34,61.81,121412
1.5795212e7,66.8187,64.67,67.0,67.65,64.3,127015
2.4106221e7,68.6223,66.64,68.99,69.97,66.08,149410
1.7065167e7,70.5843,69.91,71.22,71.45,69.28,114514
1.5777541e7,71.0023,70.35,71.19,71.45,69.91,74533
9.629987e6,70.6769,70.87,70.86,71.84,69.65,77737
1.010997e7,72.1623,71.72,72.45,72.78,70.73,78405
1.3007284e7,70.9121,72.51,69.74,73.218,69.5,97366
1.1230726e7,71.3789,70.55,71.71,71.88,70.17,82563
9.712335e6,70.3749,71.97,70.12,72.2,69.68,81473
1.8292132e7,67.943,69.62,67.94,69.9198,66.77,106390
1.4247744e7,66.1334,68.01,65.7,68.1,65.22,113031
1.196132e7,66.752,65.73,67.33,67.3599,64.7,88088
1.6924482e7,65.3205,67.42,64.31,67.4994,64.08,137546
1.2528282e7,66.2993,65.72,67.02,67.13,65.43,93659
1.1949877e7,66.4883,66.49,66.72,67.245,65.8518,75290
1.0950313e7,66.7093,67.14,66.01,68.36,66.0,81522
1.3494937e7,65.625,65.55,65.7,66.5575,63.7425,96504
3.1227879e7,63.5116,67.01,65.09,67.05,63.985,223251
8.9363688e7,56.3615,56.0,55.22,57.63,55.05,543410
8.0034354e7,54.0426,55.52,54.58,55.55,52.67,397881
3.0741059e7,54.0307,55.07,54.4,55.72,53.16,215266
1.9413424e7,53.9433,54.95,53.56,54.97,53.3154,135960
1.9764119e7,53.1665,53.48,53.81,53.84,52.34,145768
2.1961818e7,54.0684,54.77,53.79,54.92,53.37,141679
1.756745e7,52.1096,53.01,51.81,53.08,51.62,136236
1.7254771e7,51.8785,49.52,52.88,53.1865,49.2,135639
1.7427801e7,50.9245,51.87,50.7,52.38,50.06,134568
1.4490584e7,50.3318,51.675,50.11,51.77,49.115,115792
9.971941e6,51.357,50.61,51.73,51.915,50.19,77592
2.1544296e7,52.2929,52.23,52.6,52.73,51.275,120770
2.3846848e7,53.7148,52.6,53.19,55.15,52.42,149273
2.1743375e7,52.763,52.19,52.92,53.16,51.67,101385
1.2722078e7,54.4285,53.23,54.71,54.91,53.22,95948
1.2835066e7,54.4905,55.0,54.45,55.0,53.94,76434
2.5731009e7,56.6874,54.9,57.06,57.33,54.66,148002
1.3593831e7,57.0907,57.35,57.0,57.64,56.54,105044
1.6082337e7,57.9557,57.365,57.85,58.6142,57.31,96684
9.257878e6,57.8649,57.64,58.08,58.295,57.031,78150
8.880006e6,58.1751,58.2,58.0,58.56,57.83,69592
1.3272609e7,57.0606,58.2,57.44,58.2,56.27,107967
9.557517e6,56.9866,57.28,57.16,57.64,56.32,80289
2.2141193e7,57.4986,56.96,57.01,58.67,55.83,139295
1.2401886e7,58.7752,57.41,59.0,59.3,57.32,104584
1.063894e7,58.8803,58.62,59.63,59.825,57.72,89205
1.2879134e7,58.7578,59.79,58.81,60.0895,57.82,90508
1.631236e7,60.1167,59.59,59.71,61.05,59.41,115099
8.83404e6,59.6458,59.8,60.3,60.38,58.74,75060
6.992003e6,60.3012,59.95,60.5,60.6297,59.87,61365
