firm,μ,σ,b
1,-14.079810368958565,12.220336910483388,210.475347334038
2,2.5827950868571463,12.946984681934973,50.541437001581016
3,13.495976776122454,12.027084954571867,61.29932593793236
4,13.338755979629488,12.906934566266312,72.38746939330835
6,40.96662732404084,12.54754718478169,130.9713988728087
7,4.909352327113373,13.97148659320836,58.49252036734428
8,9.764378791823901,12.220068305510397,30.886845504157527
9,60.690669665011725,13.867089447716364,226.59531079838254
10,14.690550974927607,13.876628158189597,129.3091139868964
11,21.74764017393784,17.208414505697966,6.917703705744545
12,3.0093088115246305,14.22375521181982,11.75003047367865
13,3.5910713812630037,13.161543906443177,41.31852750976701
14,20.153583281339152,12.6964552058454,52.38661778841044
15,27.15499063416706,12.127418096756672,166.24320184128106
16,8.227499145887833,12.824783356663785,71.96265854552107
17,-3.7307343468532035,16.363354509800843,64.79126434299138
18,40.61138910441327,16.380471403781062,37.86688042427363
19,12.320293358957008,12.022648292327924,126.20032222876728
20,39.425226186737426,17.230726893805564,257.85255932155724
21,7.629572467597015,13.125186664310856,87.07984717100167
22,3.954879904820468,11.513348120155555,41.703285316875146
23,8.616190074532751,12.396773462661013,87.64894333566421
24,17.877842775129338,12.799301374027019,41.2553484733898
25,18.192962063997328,12.8049592023655,40.731181052475485
26,-2.8071943434459037,12.426412628519165,56.074755100101896
27,16.416712668379127,13.80869347197416,79.05262513757349
29,6.501000761405977,11.55703321168887,60.53360114847301
30,-6.680741864178224,18.995569928970664,41.528866870240066
31,4.703654987535054,11.532310725813646,73.00528524960862
32,15.778226114237778,14.424063405029901,88.68633535639921
33,0.9105153430102406,15.188571998122713,46.60741841813235
34,24.37992314410421,12.289134099216001,157.4498149757535
35,18.33364607060535,11.890552009051067,84.80855269788539
36,39.500109551313045,14.635384443201243,97.4152309821685
37,15.27119881879287,13.036326329822852,68.67511384894276
38,15.004253517941628,12.647851243624771,65.77510526731837
39,15.292586661785938,11.840667655496274,180.53541334919376
40,8.351746869835745,12.313927282032413,37.0904445430431
41,18.714325858645577,13.452967813567712,81.72613228113642
42,36.38215934091029,13.500665100479656,168.1471562299533
44,36.05386704488438,11.935751143198782,125.41545191728846
45,-0.9670793092973278,20.218334172296835,31.129397385342724
46,30.191390317727564,13.19032029326773,23.015083208807884
47,20.496197165994214,15.622605749261313,28.175439428499754
48,10.75175197296339,16.127948436411835,76.41225720360879
49,13.72893873926422,15.554734807104554,44.54155063200224
50,26.29866797339408,11.680610006452463,48.873245394326815
51,16.593408045777437,12.750773885612022,86.60923301612871
52,-3.2555598960314676,12.32382366153628,37.40565618130826
53,3.7356063839959135,11.515758878099277,91.35628805390456
