volume,volume_weighted_average_price,open,close,high,low,number_of_transactions
3.243939e6,222.9228,224.99,223.23,225.66,219.68,42608
3.761128e6,226.7651,222.73,228.77,229.365,222.73,45385
4.0167e6,232.9049,223.88,236.35,237.64,222.4603,54501
3.73982e6,240.5239,238.45,239.71,243.05,237.89,48657
2.328083e6,243.093,241.04,243.49,244.96,240.5,31550
1.569704e6,243.3026,243.01,244.12,244.22,241.84,26638
2.252437e6,241.522,244.57,240.69,245.25,239.26,30358
3.31418e6,239.2201,239.97,239.84,241.31,235.71,39985
2.106921e6,238.0023,240.32,236.7,241.3662,236.33,27519
2.840306e6,236.7945,236.7,236.75,238.98,234.94,32408
2.316321e6,236.6445,239.16,236.11,239.65,235.45,24243
2.108628e6,236.3692,235.87,237.05,237.54,234.61,30110
2.438893e6,234.0566,236.75,233.1,238.53,232.71,32337
2.779632e6,237.4865,234.35,238.04,239.45,233.85,33808
2.221749e6,237.0599,237.91,238.15,239.3,233.57,30959
1.6903e6,236.0675,238.86,233.98,238.86,233.98,23806
4.713014e6,224.2713,230.4,222.2,230.4,217.83,59249
2.671575e6,228.48,225.6,228.57,232.0,225.2414,36381
5.800293e6,236.1945,227.94,237.84,239.1,225.95,61575
3.636827e6,241.79,239.5,241.75,244.4386,239.06,47810
3.69474e6,244.8409,244.75,245.09,246.12,242.84,41781
2.886796e6,239.956,244.02,238.23,244.5,238.12,34751
2.527744e6,236.5705,237.62,235.53,239.88,234.6101,31894
1.507212e6,236.0494,236.25,235.59,238.35,234.56,22729
1.590646e6,236.0593,236.16,235.65,238.755,234.08,23050
1.899556e6,236.9255,236.51,237.0,238.43,234.75,26060
1.434912e6,237.6771,238.85,237.49,238.85,236.22,21616
1.878666e6,239.4998,239.27,240.66,240.95,237.41,25506
2.131103e6,244.8263,240.24,245.9,247.08,240.19,24072
1.702296e6,243.2524,247.82,242.27,248.86,241.595,24082
2.002804e6,240.5502,241.06,239.91,242.57,239.3,24902
1.596988e6,237.1879,238.07,237.4,238.6,235.5,23233
3.197015e6,233.1223,237.32,231.24,238.5354,231.12,30157
3.490959e6,226.6879,231.7,225.5,231.7,225.0,38390
2.255208e6,224.4811,225.35,223.85,226.64,222.86,32545
2.962331e6,224.0858,224.5,223.0,226.24,222.5,32013
2.955274e6,220.4994,222.0,219.26,224.1345,218.065,38761
3.173124e6,220.4033,222.13,219.67,222.8,219.56,32969
2.031273e6,225.0977,220.92,225.67,226.73,220.92,28234
2.098991e6,223.9987,225.08,224.09,226.74,222.13,27023
2.460883e6,221.0485,225.0,219.68,225.955,219.46,29946
3.600382e6,215.6929,218.76,214.41,220.07,212.66,47467
2.458388e6,215.9733,216.0,218.35,219.32,212.55,41971
2.903732e6,214.7085,218.01,212.38,219.39,212.0927,32151
4.822417e6,216.3051,216.18,216.34,219.0,215.7,33503
3.335019e6,214.3397,216.87,212.93,219.27,211.22,40713
2.458894e6,218.1666,215.84,219.22,220.0,214.57,34644
2.322229e6,215.0585,217.63,214.68,218.6,213.84,28889
1.813595e6,216.6735,215.2,217.0,218.425,214.6,25114
3.992076e6,215.8674,217.23,215.9,218.0399,214.66,38727
