volume,volume_weighted_average_price,open,close,high,low,number_of_transactions
1.994248e6,141.5088,141.88,142.43,142.85,139.61,27455
2.027065e6,143.6234,142.27,143.2,144.91,142.11,30276
1.935559e6,144.4334,143.03,144.06,145.32,143.03,29196
1.692692e6,143.7354,143.77,143.12,145.28,142.97,28767
1.305251e6,143.5865,143.44,143.74,144.32,142.3,23306
2.706379e6,144.9197,143.55,144.59,145.79,143.55,34791
2.441977e6,142.4538,143.34,143.14,144.15,141.17,34100
1.293875e6,142.8696,142.06,143.09,143.88,141.8201,23499
1.303673e6,142.6351,142.95,142.89,143.485,141.735,21873
1.367779e6,143.0527,143.0,143.2,143.73,141.85,20437
2.21441e6,140.8071,142.49,140.88,142.52,140.08,28998
1.71223e6,142.8939,141.08,142.68,143.69,140.79,27690
2.151557e6,142.1727,142.2,141.57,143.13,141.37,27294
2.57968e6,143.3187,143.11,143.32,144.47,142.51,36493
2.762052e6,141.8177,143.81,141.8,144.57,138.79,41964
2.483222e6,139.4318,141.68,139.63,141.68,138.111,41022
5.636746e6,133.6119,130.45,134.84,135.77,130.25,70125
2.8293e6,137.546,134.95,137.48,138.94,134.92,40585
1.965884e6,137.5769,136.98,138.92,139.05,135.64,30425
2.283118e6,137.4892,137.82,137.65,138.275,136.77,27096
1.552308e6,136.928,137.93,137.26,138.38,135.485,25590
3.039615e6,135.8768,135.44,135.62,137.045,135.315,37835
1.9908e6,136.3607,135.86,136.48,137.57,135.25,28799
2.209767e6,133.5609,135.64,132.66,135.825,132.59,33142
1.887953e6,133.3456,133.54,133.27,134.055,131.89,27606
1.595458e6,133.3376,133.39,133.23,134.3,132.65,22343
1.900356e6,132.3855,133.79,131.89,134.07,131.88,28576
2.103896e6,130.8568,131.15,130.95,131.5599,130.18,34582
1.472704e6,132.1363,131.55,132.33,132.79,131.02,26114
1.58346e6,131.6603,132.33,132.37,132.79,129.85,26375
1.685892e6,131.8034,132.69,131.5,133.2668,130.89,23496
2.00335e6,130.567,131.34,131.02,132.19,129.54,28503
1.566566e6,131.4296,130.91,131.63,132.0873,130.235,26180
1.327219e6,132.7579,131.89,133.15,133.28,131.7,21192
1.555312e6,132.7314,133.37,132.85,133.45,131.89,23964
1.411763e6,132.3576,133.43,131.94,133.47,131.74,20690
2.213448e6,128.4426,131.34,128.57,131.74,126.97,39449
1.736659e6,131.1001,129.32,131.81,132.28,129.045,29239
2.039441e6,129.898,130.51,130.15,130.53,128.795,28882
1.847072e6,128.5043,129.71,128.67,130.5,127.54,28694
1.993677e6,129.636,128.68,129.82,130.13,128.06,31900
1.622264e6,129.5135,128.86,129.55,130.49,128.41,31630
1.534866e6,129.0029,128.3,129.13,129.5199,127.725,27174
1.616569e6,128.043,128.59,127.94,129.09,126.355,29011
1.989784e6,124.5033,127.01,123.19,127.64,123.12,39733
1.782321e6,124.2455,125.44,123.56,125.65,122.87,31326
2.910062e6,119.9952,123.0,119.79,123.33,118.56,48196
2.51355e6,118.7737,119.29,117.53,120.71,117.42,41180
2.296027e6,119.8461,117.79,119.12,121.23,117.32,43148
2.267285e6,120.8032,119.8,121.05,121.49,119.7,34837
1.916801e6,120.8047,121.66,121.42,121.9,119.57,38690
1.764936e6,121.1772,121.55,121.34,121.875,120.31,30813
4.13401e6,120.8659,121.41,120.85,121.93,120.09,33101
2.51524e6,120.7297,121.31,120.73,122.43,120.065,30965
2.11412e6,122.1309,121.52,122.39,122.8,120.65,24353
1.964651e6,121.0736,123.2,120.61,123.244,120.26,25964
2.818275e6,120.4124,120.55,120.09,121.1,119.94,32384
1.860196e6,120.2122,120.83,120.28,121.29,119.41,29126
1.499657e6,121.9143,120.85,122.43,122.46,120.71,21581
1.585195e6,123.7198,122.68,124.06,124.78,122.68,25737
1.247238e6,123.6293,123.0,123.85,124.19,122.95,20916
1.815569e6,123.4666,123.51,123.16,124.42,122.31,26049
1.529015e6,124.2385,123.45,125.03,125.08,122.395,24976
1.943373e6,124.5966,124.16,125.02,125.06,122.645,22990
1.391935e6,125.1953,124.62,125.13,126.21,124.475,24497
1.529054e6,125.5908,124.75,125.97,126.0,124.39,23219
1.806322e6,126.5151,126.3,126.69,127.3,125.12,27198
1.610684e6,126.3153,127.24,126.08,127.69,125.815,22480
1.42642e6,126.4381,126.55,126.53,127.19,125.2,25409
1.60681e6,126.1084,126.24,125.94,126.9348,125.18,27957
1.444735e6,126.1004,125.87,126.39,126.52,125.53,23808
1.255494e6,126.5664,127.14,126.42,127.3456,126.035,20560
1.623496e6,125.5019,126.44,124.96,126.76,124.68,22418
2.055243e6,126.3294,124.71,126.87,127.02,123.85,27961
1.174253e6,127.731,127.0,127.6,128.24,127.0,22530
2.369105e6,128.6386,127.83,128.1,129.61,127.54,35443
6.935289e6,139.481,138.72,138.51,141.4,137.2,90753
4.790196e6,141.481,138.65,143.48,144.53,138.32,66212
3.63117e6,140.4359,143.81,139.18,144.39,139.14,55494
2.652291e6,140.625,139.18,140.48,141.6,138.52,43190
2.122931e6,141.6066,140.67,141.99,142.39,139.28,37244
2.926752e6,139.4078,140.89,138.83,141.71,138.66,37075
2.241964e6,136.4305,139.74,136.02,139.82,134.46,36506
2.087498e6,137.3186,136.56,137.3,138.72,136.04,30080
2.00889e6,138.7555,136.41,139.14,139.7,136.025,26476
2.13058e6,136.9379,138.67,136.68,138.67,135.58,33904
2.051868e6,136.6662,136.89,137.6,137.81,135.58,29407
3.018699e6,140.1123,137.6,140.34,142.23,137.0,43182
2.040376e6,139.1601,140.41,138.95,141.14,138.03,33960
1.559346e6,139.2966,139.19,138.91,140.7205,138.21,26016
1.323427e6,139.2186,138.92,139.61,140.61,138.05,25882
1.417789e6,138.8547,140.17,139.16,140.17,137.51,25945
1.363206e6,138.8774,138.78,138.93,139.45,137.47,18401
1.819383e6,138.2617,138.6,138.66,139.34,136.611,29852
2.169988e6,133.6172,137.93,132.51,137.94,132.105,33844
2.655818e6,129.0408,131.1,129.05,132.07,127.14,42304
2.110672e6,127.5687,129.08,128.34,129.4,125.46,27047
1.521278e6,129.1298,128.89,129.41,130.06,127.44,25128
1.232201e6,131.135,129.47,132.15,132.35,129.06,24017
1.426438e6,131.2102,132.13,131.37,132.13,130.38,22367
1.250793e6,132.9826,132.47,132.41,134.01,132.16,23907
1.188355e6,133.0527,132.96,133.43,133.47,132.01,21145
2.843064e6,132.7816,132.0,133.02,133.63,130.8,27872
1.577523e6,131.4426,133.42,131.4,134.22,130.6705,26553
1.518885e6,130.8949,131.5,131.79,132.02,127.96,27097
994119.0,131.5708,131.43,131.44,132.555,130.89,20728
1.058395e6,131.8875,131.59,131.88,133.04,131.37,19371
1.229468e6,131.5086,130.41,132.1,132.27,130.1,21783
1.074314e6,131.048,131.71,130.81,131.79,130.46,22811
1.49335e6,128.5394,130.02,127.46,130.65,127.12,24961
1.776382e6,127.71,126.46,127.76,128.87,125.4301,29398
1.712979e6,127.1697,126.29,126.91,128.2,126.27,31160
2.224898e6,123.7518,126.85,123.31,127.425,122.84,33348
1.784574e6,122.5094,123.91,122.41,124.495,120.93,30052
1.899123e6,121.9789,121.37,121.65,123.458,120.63,29452
3.203112e6,121.4348,120.01,121.79,122.03,119.882,31143
1.911832e6,124.2857,124.14,125.08,125.64,122.4615,31191
1.704605e6,127.0872,125.28,127.57,127.94,124.6143,28306
2.12204e6,131.1359,128.35,132.08,132.215,128.16,30762
2.431622e6,134.0908,132.22,134.46,134.7909,132.11,36563
1.305945e6,133.6996,134.1,133.59,134.96,133.0,22332
1.162623e6,132.9487,133.38,132.54,133.89,132.27,22201
1.230393e6,133.8872,133.07,134.25,134.425,132.8,21458
1.715427e6,134.8368,133.49,135.15,136.0,133.085,25544
1.612915e6,136.4156,135.63,136.76,137.05,135.1601,27073
1.359404e6,136.0384,136.19,136.09,137.38,134.7988,26040
1.296789e6,137.3081,137.07,136.98,138.2074,136.75,29595
1.2404e6,135.3247,136.01,135.7,136.27,134.4,25902
1.309759e6,134.7101,135.14,134.2,135.93,134.09,24384
836106.0,134.7663,134.59,134.72,135.57,134.2697,16009
1.24067e6,135.7944,135.25,135.28,137.11,134.76,21405
1.192765e6,136.04,134.88,136.05,136.968,134.53,21390
1.475162e6,134.6409,134.0,135.13,135.38,133.6119,26335
1.050478e6,134.7228,135.8,134.68,135.81,134.06,22967
1.631211e6,132.5864,134.06,132.07,134.28,131.93,27701
1.858052e6,132.0996,132.9,132.24,132.9,131.39,32269
1.341631e6,131.1845,132.56,131.35,132.56,130.31,26532
1.487536e6,130.1372,130.24,130.55,130.8,129.425,27120
1.255979e6,132.0257,130.68,132.4,132.7,130.4,26803
1.433152e6,133.1844,132.18,133.42,133.74,131.94,25040
1.757937e6,132.5977,129.95,133.97,133.99,129.84,29309
1.650645e6,132.0424,134.24,132.05,134.24,130.97,30892
1.08109e6,133.036,132.1,133.26,133.92,131.535,21685
2.902511e6,131.6708,132.38,131.79,132.38,130.56,32018
2.070424e6,135.0977,132.26,135.37,136.2,132.26,31685
1.712461e6,133.4106,136.0,133.0,136.23,132.47,28012
1.318946e6,134.4421,132.51,134.75,135.08,132.08,25942
1.21172e6,132.9502,134.48,132.76,134.87,131.905,24413
781412.0,132.9031,132.75,133.38,133.49,131.93,17911
889203.0,134.3089,133.76,134.29,135.06,133.565,17175
754166.0,134.5339,134.5,134.42,135.25,133.915,15527
1.178286e6,135.4085,135.05,135.66,135.735,134.68,22726
921300.0,135.2488,135.94,134.63,136.57,134.34,19204
690573.0,135.118,135.0,135.48,135.58,134.38,16331
976033.0,136.4477,136.12,136.45,137.19,135.73,19816
1.043055e6,137.3553,136.34,137.39,137.87,136.31,20708
882384.0,136.9523,137.1,136.83,137.315,136.67,18684
997323.0,136.682,136.39,137.1,137.16,135.74,19208
1.147864e6,137.0531,137.04,136.95,137.78,136.63,21653
1.179407e6,136.2696,136.96,136.21,137.015,135.59,21586
1.063485e6,134.5287,135.5,134.24,135.6,134.144,21148
955253.0,133.7756,134.15,133.69,134.49,133.36,17725
1.424974e6,132.6251,133.22,132.89,133.27,131.91,23723
1.434387e6,130.5315,132.91,129.52,133.08,129.35,26659
813285.0,129.7493,129.25,129.58,130.62,128.49,20370
1.279609e6,129.2475,130.13,128.83,130.13,128.5,26834
1.828191e6,128.0306,129.22,127.52,129.68,127.4,26119
1.409983e6,128.2363,127.5,128.52,129.02,126.475,24254
1.513123e6,127.6092,128.83,126.48,129.76,126.22,23185
1.662372e6,125.8587,125.97,125.71,127.14,124.93,32297
1.294373e6,127.3018,126.42,127.44,127.82,125.99,22429
1.2911e6,125.3256,125.7,125.5,126.275,123.84,24585
1.395289e6,126.6152,125.75,126.84,128.09,125.16,21586
1.34301e6,127.0297,126.84,126.91,127.7757,126.5413,27351
1.139207e6,124.51,126.33,123.76,126.79,123.52,24468
2.091157e6,122.0513,123.62,121.81,123.9153,121.02,34944
1.462161e6,121.5645,122.37,121.42,122.43,121.02,28421
2.23651e6,121.9485,121.71,122.02,122.32,121.4047,23215
1.154512e6,122.3623,121.77,122.82,122.84,121.65,20763
1.223447e6,121.4966,122.31,121.56,122.31,120.724,22227
1.234323e6,121.5578,121.52,120.73,122.86,120.73,21779
1.252688e6,120.9982,120.3,120.71,121.5475,119.9263,24427
1.365707e6,120.0197,120.45,120.29,120.825,119.08,28282
1.854737e6,119.0524,120.48,118.78,120.77,118.03,32738
2.040349e6,118.1196,119.17,117.19,120.07,117.08,34444
2.02607e6,117.1994,118.12,117.18,118.12,116.68,33782
2.010438e6,115.4771,116.68,114.98,117.11,114.87,34021
2.29373e6,113.2836,115.48,112.54,115.96,112.38,35915
2.103933e6,113.5346,113.0,114.08,114.43,111.9,34200
1.713815e6,115.8113,114.52,116.23,116.75,114.08,30496
1.388471e6,114.9473,115.85,114.58,115.89,114.31,25998
1.53595e6,112.6599,114.62,112.19,114.62,111.975,28409
2.047615e6,110.5299,112.35,109.59,112.75,109.51,37228
1.47969e6,109.8837,109.65,110.16,110.49,108.74,29834
1.569583e6,111.4515,110.63,111.37,112.08,110.35,25985
2.493758e6,113.2578,112.6,112.86,113.97,112.08,32735
1.827218e6,113.9305,111.65,114.58,115.04,111.43,32214
1.36987e6,113.6541,115.0,113.21,115.14,113.145,26448
1.730546e6,114.5032,113.89,114.18,115.2051,113.7925,31110
1.41008e6,115.4109,115.17,115.48,116.36,114.8245,23820
1.192442e6,115.0738,115.83,114.94,116.46,114.2823,21400
1.975634e6,113.2832,114.71,112.32,115.03,112.13,31162
1.67817e6,113.6727,112.61,113.96,114.17,111.85,25349
2.626671e6,115.3422,114.69,115.86,116.16,114.0,42792
2.773496e6,117.9272,115.01,119.49,119.49,114.375,42905
2.203622e6,120.0498,119.57,120.21,120.96,118.49,39901
1.899847e6,121.7804,120.8,121.3,122.61,120.705,32266
1.766883e6,123.9048,121.47,124.28,124.5,121.47,29927
2.920085e6,124.448,124.22,124.46,124.95,123.868,30942
1.883278e6,124.3104,124.46,124.35,125.89,123.63,29444
1.780048e6,123.0216,124.0,122.27,125.16,122.06,33042
1.837511e6,121.6676,121.27,122.02,122.23,120.76,34175
1.929623e6,122.457,122.97,122.52,123.78,121.48,33104
1.212088e6,124.1101,123.31,124.32,124.57,123.1,24769
1.290706e6,124.6449,124.73,124.58,125.37,123.71,24009
941304.0,124.2986,124.63,123.83,125.21,123.69,19191
1.899103e6,126.8712,126.06,127.78,128.04,125.38,38154
1.633046e6,126.4208,127.82,127.45,128.02,124.22,35999
1.490125e6,128.6933,127.61,127.56,130.4,127.28,27842
1.317377e6,128.2905,128.7,128.14,129.47,126.9601,27642
1.033461e6,129.1132,128.38,129.01,129.9282,128.38,21651
1.168434e6,128.4871,128.34,128.87,128.95,127.7,22677
1.350512e6,131.0879,130.42,131.4,131.665,130.06,22719
1.375403e6,133.2797,132.0,133.49,133.68,131.595,25018
1.789375e6,134.5964,134.0,134.98,135.21,133.525,29134
1.304825e6,134.3726,135.26,134.0,135.5,133.9,21018
540494.0,134.5913,134.22,135.03,135.03,134.0,10995
1.220619e6,133.7065,134.91,133.31,135.02,133.31,22707
1.421123e6,132.6028,132.63,133.16,133.2,131.55,24140
1.798322e6,135.0124,132.85,135.63,135.66,132.5,23959
1.447342e6,136.5222,136.0,136.6,137.4,135.82,28130
1.932724e6,137.4174,136.14,137.93,138.16,135.66,29638
1.234379e6,137.0354,136.2,137.17,137.49,135.72,25286
1.476109e6,135.8451,135.8,136.01,137.15,135.15,29114
1.288897e6,136.9042,136.73,136.7,137.83,136.28,29350
1.193224e6,136.3541,135.24,136.76,136.79,135.0,18635
2.315383e6,136.4406,136.54,136.2,137.3,135.87,22967
1.76483e6,136.972,136.52,137.96,138.02,134.68,31879
1.618492e6,138.618,139.2,138.71,139.73,137.54,29065
1.644681e6,139.3108,138.77,139.1,140.41,137.805,25237
