volume,volume_weighted_average_price,open,close,high,low,number_of_transactions
9.322706e6,27.8126,27.08,28.06,28.14,26.98,58159
1.3218233e7,29.4634,28.7,29.46,29.935,28.6,81104
9.212678e6,29.1851,30.0,28.4,30.09,28.37,60967
7.626764e6,29.5462,29.3626,29.62,29.91,28.78,56016
8.355386e6,29.7805,29.85,29.67,30.295,29.42,56650
1.0408578e7,29.1547,29.64,29.42,29.84,28.65,61598
1.2299207e7,31.2287,29.7581,32.0,32.135,29.485,75321
1.6272477e7,32.6475,32.83,32.65,33.09,31.89,64340
8.108977e6,32.4716,32.66,32.09,33.3079,31.945,55683
1.1021989e7,32.6899,32.31,33.29,33.37,31.671,74422
9.801698e6,33.3145,34.1,32.97,34.395,32.465,71331
8.146843e6,32.5914,33.37,32.38,33.535,32.101,49582
8.783813e6,32.0053,31.775,31.25,32.87,31.15,71844
9.839512e6,30.3268,30.8,30.1,31.04,29.47,75254
1.0340073e7,29.3372,28.99,30.54,30.69,27.984,90063
1.4303103e7,31.8851,30.3,33.07,33.4,29.61,99279
1.203411e7,33.467,33.54,33.11,34.29,32.33,104741
8.770809e6,33.102,33.86,32.95,34.4884,32.27,76828
7.526797e6,32.9661,33.07,33.17,33.98,32.09,64172
7.038272e6,33.1022,33.1,33.21,33.55,32.39,58175
9.075608e6,34.4727,33.015,34.71,34.99,32.61,79149
6.537582e6,34.458,34.76,34.77,34.905,33.82,54882
6.909153e6,34.5008,34.375,34.54,35.145,33.9,54447
1.0324851e7,35.2134,35.0513,34.49,36.46,34.405,80362
7.646994e6,34.0674,34.18,34.09,34.78,33.28,58506
1.0434403e7,32.9687,33.78,32.87,33.88,32.315,79324
7.593958e6,33.4096,32.73,33.43,33.91,32.7,54653
8.841762e6,33.8558,33.25,33.46,34.6101,33.13,69416
1.2781106e7,34.0344,33.64,34.14,34.455,33.36,88440
1.2322267e7,32.4528,33.855,32.14,34.16,31.94,88944
6.885411e6,31.9417,31.05,32.23,32.3765,30.9035,61042
7.334699e6,32.7511,32.425,32.4,33.23,31.975,57974
6.808519e6,32.574,32.27,32.39,33.24,32.095,58967
8.774344e6,31.9839,31.81,32.16,32.37,31.42,68966
1.4908239e7,31.4007,33.015,31.04,33.24,30.43,106199
1.0600279e7,31.2349,31.44,30.83,32.275,30.65,79417
1.4283808e7,31.4226,31.13,32.31,32.45,29.95,115469
9.284098e6,33.0387,32.14,33.67,33.735,32.13,76795
1.2942475e7,34.9919,33.45,35.63,35.67,33.31,87478
1.535693e7,37.0833,36.29,37.29,37.6398,35.99,115053
1.2209004e7,38.1554,38.0,37.87,39.17,37.21,100351
1.1157171e7,37.9116,37.19,38.28,38.29,37.11,86677
1.4544823e7,38.7709,38.44,39.48,39.73,37.9,115532
1.5962132e7,38.7092,39.91,37.92,40.56,37.33,132880
1.6485207e7,39.2426,39.13,38.63,41.2,37.46,144464
1.3634711e7,37.9218,36.99,38.7,38.895,36.36,125750
1.080397e7,39.2143,39.06,40.04,40.2,38.24,100652
8.395131e6,39.5338,39.56,39.05,40.15,39.0,87418
1.1775875e7,37.5104,38.01,37.58,38.49,36.44,86929
1.1132679e7,36.033,35.57,36.7,36.84,34.795,92480
1.0542422e7,36.6643,36.8,36.85,37.13,35.89,88346
9.280797e6,39.0394,37.82,39.43,39.85,37.62,85472
1.1795037e7,39.0843,39.14,39.11,39.38,38.64,70468
8.093556e6,40.8356,40.13,40.88,41.73,40.05,72285
7.20286e6,40.5135,40.68,40.52,41.28,39.8462,61392
8.01292e6,40.792,41.4,40.71,41.74,40.3,68041
5.551712e6,40.9383,40.8,40.78,41.725,40.35,48551
5.891364e6,41.3751,40.44,41.53,42.09,40.24,55502
7.191117e6,39.724,40.5,39.85,40.5,38.93,66596
7.534484e6,39.9856,38.88,40.96,40.97,38.52,72456
9.015751e6,41.2134,41.45,41.2,42.36,40.68,58743
7.934454e6,41.8821,41.06,41.33,42.77,40.8,69069
5.005443e6,42.2542,41.415,42.22,42.69,41.415,58379
6.946894e6,42.8566,43.0,42.98,43.69,42.27,61544
7.330072e6,42.4348,43.23,41.69,43.88,41.58,60140
7.368103e6,41.071,41.9,40.81,42.24,40.36,65597
8.406665e6,40.3916,41.57,41.0,41.91,39.3629,71512
6.628067e6,42.4689,41.37,43.02,43.395,41.3,59100
9.983146e6,41.6152,42.36,41.07,42.44,40.73,74060
5.817489e6,42.6628,41.98,42.18,43.255,41.95,59670
6.519518e6,43.3513,42.85,43.61,43.99,42.13,62856
5.117043e6,43.7333,43.37,43.68,44.28,43.32,46464
