CUSIP,Security Type,Security Term,Auction Date,Issue Date,Maturity Date,Price,Investment Rate
912797HF7,Bill,13-Week,01/08/2024,01/11/2024,04/11/2024,98.676708,0.05394
912797GB7,Bill,26-Week,01/08/2024,01/11/2024,07/11/2024,97.457056,0.05247
912797JC2,Bill,4-Week,01/04/2024,01/09/2024,02/06/2024,99.588556,0.054
912797JG3,Bill,8-Week,01/04/2024,01/09/2024,03/05/2024,99.177889,0.05418
912797JV0,Bill,17-Week,01/03/2024,01/09/2024,05/07/2024,98.281111,0.05379
912797GN1,Bill,42-Day,01/02/2024,01/04/2024,02/15/2024,99.382833,0.05412
912797GZ4,Bill,13-Week,01/02/2024,01/04/2024,04/04/2024,98.674181,0.05404
912796Y52,Bill,26-Week,01/02/2024,01/04/2024,07/05/2024,97.435458,0.05264
912797JB4,Bill,4-Week,12/28/2023,01/02/2024,01/30/2024,99.585833,0.05436
912797JF5,Bill,8-Week,12/28/2023,01/02/2024,02/27/2024,99.177889,0.05418
912797JQ1,Bill,17-Week,12/27/2023,01/02/2024,04/30/2024,98.277806,0.0539
912797GM3,Bill,42-Day,12/27/2023,12/28/2023,02/08/2024,99.384000,0.05401
912797GY7,Bill,13-Week,12/26/2023,12/28/2023,03/28/2024,98.670389,0.0542
912796Y45,Bill,26-Week,12/26/2023,12/28/2023,06/27/2024,97.431778,0.05301
912796ZV4,Bill,52-Week,12/26/2023,12/28/2023,12/26/2024,95.353944,0.04841
912797JA6,Bill,4-Week,12/21/2023,12/26/2023,01/23/2024,99.590500,0.05375
912797JE8,Bill,8-Week,12/21/2023,12/26/2023,02/20/2024,99.180222,0.05402
912797JP3,Bill,17-Week,12/20/2023,12/26/2023,04/23/2024,98.274500,0.054
912797GE1,Bill,42-Day,12/19/2023,12/21/2023,02/01/2024,99.385167,0.05391
912797LL9,Bill,13-Week,12/18/2023,12/21/2023,03/21/2024,98.670389,0.0542
912796ZW2,Bill,26-Week,12/18/2023,12/21/2023,06/20/2024,97.406500,0.05354
912797HZ3,Bill,4-Week,12/14/2023,12/19/2023,01/16/2024,99.590111,0.0538
912797JD0,Bill,8-Week,12/14/2023,12/19/2023,02/13/2024,99.179444,0.05407
912797JN8,Bill,17-Week,12/13/2023,12/19/2023,04/16/2024,98.264583,0.05432
912796ZY8,Bill,42-Day,12/12/2023,12/14/2023,01/25/2024,99.383417,0.05406
912797GX9,Bill,13-Week,12/11/2023,12/14/2023,03/14/2024,98.670389,0.0542
912797FS1,Bill,26-Week,12/11/2023,12/14/2023,06/13/2024,97.376167,0.05419
912797HY6,Bill,4-Week,12/07/2023,12/12/2023,01/09/2024,99.588944,0.05395
912797JC2,Bill,8-Week,12/07/2023,12/12/2023,02/06/2024,99.179444,0.05407
912797JM0,Bill,17-Week,12/06/2023,12/12/2023,04/09/2024,98.267889,0.05421
912797GD3,Bill,42-Day,12/05/2023,12/07/2023,01/18/2024,99.383417,0.05406
912797GQ4,Bill,13-Week,12/04/2023,12/07/2023,03/07/2024,98.672917,0.05409
912797HT7,Bill,26-Week,12/04/2023,12/07/2023,06/06/2024,97.376167,0.05419
912797HX8,Bill,4-Week,11/30/2023,12/05/2023,01/02/2024,99.588556,0.054
912797JB4,Bill,8-Week,11/30/2023,12/05/2023,01/30/2024,99.178667,0.05412
912797JL2,Bill,17-Week,11/29/2023,12/05/2023,04/02/2024,98.267889,0.05421
912797GC5,Bill,42-Day,11/28/2023,11/30/2023,01/11/2024,99.383417,0.05406
912797HP5,Bill,52-Week,11/28/2023,11/30/2023,11/29/2024,94.996458,0.05214
912797GP6,Bill,13-Week,11/27/2023,11/30/2023,02/29/2024,98.665333,0.05441
912797HS9,Bill,26-Week,11/27/2023,11/30/2023,05/30/2024,97.350889,0.05472
912797HW0,Bill,4-Week,11/22/2023,11/28/2023,12/26/2023,99.587778,0.05411
912797JA6,Bill,8-Week,11/22/2023,11/28/2023,01/23/2024,99.178667,0.05412
912797JK4,Bill,17-Week,11/22/2023,11/28/2023,03/26/2024,98.261278,0.05442
912797FW2,Bill,41-Day,11/21/2023,11/24/2023,01/04/2024,99.398097,0.05406
912796Z28,Bill,13-Week,11/20/2023,11/24/2023,02/22/2024,98.682500,0.05429
912797HR1,Bill,26-Week,11/20/2023,11/24/2023,05/23/2024,97.370472,0.05461
912797HV2,Bill,4-Week,11/16/2023,11/21/2023,12/19/2023,99.588556,0.054
912797HZ3,Bill,8-Week,11/16/2023,11/21/2023,01/16/2024,99.178667,0.05412
912797JJ7,Bill,17-Week,11/15/2023,11/21/2023,03/19/2024,98.262931,0.05437
912796ZN2,Bill,42-Day,11/14/2023,11/16/2023,12/28/2023,99.382833,0.05412
912797GN1,Bill,13-Week,11/13/2023,11/16/2023,02/15/2024,98.664069,0.05446
912797FH5,Bill,26-Week,11/13/2023,11/16/2023,05/16/2024,97.335722,0.05504
912797HU4,Bill,4-Week,11/09/2023,11/14/2023,12/12/2023,99.588556,0.054
