Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","8 WEEKS BANK DISCOUNT","8 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","17 WEEKS BANK DISCOUNT","17 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
05/18/2023,5.38,5.49,5.06,5.19,5.14,5.29,5.18,5.36,5.13,5.35,4.76,5.02
05/17/2023,5.39,5.50,4.87,4.99,5.10,5.25,5.11,5.28,5.05,5.27,4.66,4.91
05/16/2023,5.45,5.56,4.80,4.92,5.07,5.22,4.99,5.16,5.02,5.24,4.63,4.88
05/15/2023,5.49,5.61,4.80,4.92,5.06,5.21,5.01,5.18,4.99,5.20,4.56,4.79
05/12/2023,5.57,5.69,4.72,4.83,5.08,5.23,5.03,5.20,4.93,5.14,4.57,4.80
05/11/2023,5.59,5.71,4.68,4.79,5.04,5.19,4.99,5.16,4.90,5.11,4.52,4.75
05/10/2023,5.39,5.50,4.81,4.93,5.08,5.23,4.99,5.16,4.89,5.10,4.52,4.75
05/09/2023,5.40,5.51,4.99,5.11,5.13,5.28,5.03,5.20,4.94,5.15,4.62,4.86
05/08/2023,5.33,5.44,5.01,5.13,5.15,5.30,5.02,5.19,4.90,5.11,4.60,4.84
05/05/2023,5.38,5.49,5.07,5.20,5.10,5.25,5.01,5.18,4.90,5.11,4.54,4.77
05/04/2023,5.54,5.66,5.08,5.21,5.10,5.25,4.99,5.16,4.82,5.02,4.42,4.64
05/03/2023,4.44,4.53,5.15,5.28,5.09,5.24,5.00,5.17,4.85,5.05,4.50,4.73
05/02/2023,4.33,4.42,5.13,5.26,5.08,5.23,5.01,5.18,4.83,5.03,4.53,4.76
05/01/2023,4.32,4.41,4.95,5.07,5.10,5.25,5.03,5.20,4.91,5.12,4.63,4.87
04/28/2023,4.23,4.31,4.95,5.07,4.95,5.09,5.01,5.18,4.86,5.06,4.57,4.81
04/27/2023,4.16,4.24,4.95,5.07,5.03,5.18,5.03,5.20,4.85,5.05,4.56,4.80
04/26/2023,3.63,3.70,4.82,4.94,5.00,5.15,4.99,5.16,4.80,5.00,4.44,4.67
04/25/2023,3.92,4.00,4.83,4.95,4.97,5.12,4.96,5.13,4.78,4.98,4.39,4.61
04/24/2023,3.40,3.47,4.85,4.97,5.04,5.19,5.00,5.17,4.85,5.05,4.53,4.77
04/21/2023,3.29,3.35,4.79,4.91,4.98,5.12,5.03,5.20,4.87,5.07,4.54,4.78
04/20/2023,3.32,3.38,4.87,4.99,4.97,5.12,5.02,5.19,4.85,5.05,4.53,4.77
04/19/2023,3.68,3.75,4.79,4.91,5.01,5.16,5.06,5.23,4.89,5.10,4.59,4.84
04/18/2023,3.69,3.76,4.79,4.91,5.04,5.19,5.04,5.21,4.88,5.09,4.57,4.81
04/17/2023,3.95,4.03,4.81,4.93,5.06,5.21,5.08,5.25,4.86,5.07,4.61,4.85
04/14/2023,4.18,4.26,4.79,4.91,4.98,5.12,5.01,5.18,4.83,5.03,4.59,4.82
04/13/2023,3.98,4.06,4.79,4.91,4.95,5.10,4.94,5.11,4.75,4.95,4.48,4.71
04/12/2023,4.04,4.12,4.68,4.79,4.87,5.01,4.95,5.12,4.78,4.98,4.46,4.68
04/11/2023,4.09,4.17,4.68,4.79,4.89,5.03,4.91,5.07,4.79,4.99,4.48,4.71
04/10/2023,4.39,4.48,4.69,4.80,4.94,5.09,4.93,5.10,4.78,4.98,4.46,4.69
04/07/2023,4.43,4.52,4.73,4.84,4.81,4.95,4.92,5.08,4.75,4.95,4.42,4.64
04/06/2023,4.44,4.53,4.69,4.80,4.77,4.91,4.83,4.99,4.74,4.94,4.35,4.57
04/05/2023,4.48,4.57,4.61,4.72,4.72,4.86,4.76,4.92,4.63,4.82,4.25,4.46
04/04/2023,4.52,4.61,4.65,4.76,4.74,4.88,4.76,4.92,4.61,4.80,4.31,4.53
04/03/2023,4.56,4.65,4.64,4.75,4.77,4.91,4.83,4.99,4.69,4.88,4.39,4.61
03/31/2023,4.60,4.69,4.65,4.76,4.68,4.81,4.83,4.99,4.72,4.91,4.43,4.66
03/30/2023,4.60,4.69,4.64,4.75,4.80,4.94,4.80,4.96,4.70,4.89,4.41,4.64
03/29/2023,4.20,4.28,4.29,4.39,4.64,4.77,4.78,4.94,4.70,4.89,4.38,4.60
03/28/2023,4.10,4.18,4.20,4.30,4.64,4.77,4.72,4.87,4.68,4.87,4.34,4.56
