volume,volume_weighted_average_price,open,close,high,low,number_of_transactions
208882.0,194.8279,193.29,195.82,196.48,192.53,3189
300923.0,199.0649,198.0,199.25,200.14,197.274,4330
277387.0,201.9311,200.78,202.32,202.96,200.78,4247
387478.0,208.9364,208.24,207.8,211.34,204.67,5156
234945.0,209.0638,209.11,209.76,210.15,206.82,3404
166431.0,208.4059,209.57,208.14,209.76,206.541,2761
215975.0,209.0221,209.61,210.15,210.24,207.5,2351
283376.0,214.5071,210.72,215.11,216.1534,210.36,4904
558672.0,218.0807,216.69,218.09,219.11,216.0,6556
535188.0,222.4941,219.11,224.13,225.24,217.58,6463
332510.0,226.1047,224.76,225.89,228.08,224.0,3921
179201.0,228.1867,227.33,228.29,229.0472,226.09,3076
245040.0,227.9583,229.23,228.18,229.4297,226.83,3141
231505.0,229.961,228.71,230.27,231.3899,227.4492,3685
331392.0,231.672,231.25,232.95,233.5,228.78,4491
264776.0,235.2601,234.0,236.32,237.4,232.931,3732
199120.0,236.9176,237.3,238.89,239.1,233.505,3162
306116.0,237.489,239.0,236.65,239.92,235.87,4433
488141.0,233.6894,233.56,235.06,237.61,219.61,6009
332713.0,235.1249,236.1,235.0,237.31,233.49,4930
949727.0,249.7226,238.0,253.13,253.88,238.0,10903
426663.0,250.2111,251.1,248.2,255.4225,246.61,6416
872766.0,240.0861,245.0,239.37,245.0,236.51,10969
916496.0,232.2789,232.46,232.11,242.365,227.2,12962
518816.0,237.376,232.11,239.02,240.14,232.11,6635
495300.0,234.1352,240.0,229.5,240.39,229.23,7406
556968.0,226.1794,230.21,229.38,231.73,219.13,8479
371412.0,232.8101,232.15,233.72,235.4943,228.9892,5540
313818.0,233.4135,230.04,233.99,236.14,225.5,4254
1.013934e6,248.8604,237.27,255.47,256.13,236.66,12591
536246.0,259.5798,259.08,261.04,262.61,255.03,7321
512496.0,265.9997,260.43,267.74,268.72,260.01,6460
475470.0,270.6943,267.9,270.48,273.27,264.45,7351
515635.0,270.2835,271.99,268.25,273.9999,267.78,7457
640131.0,264.6377,269.64,263.97,271.1,261.32,7655
367297.0,265.0449,265.01,268.45,268.57,261.24,6092
339641.0,272.054,270.52,273.18,274.0,269.15,5236
214973.0,271.5263,273.6,271.25,273.6,269.39,4229
208097.0,270.5179,272.63,268.18,274.4,267.98,4480
570935.0,263.0902,268.0,265.71,269.9321,258.1,8594
458854.0,271.1887,263.13,275.13,276.21,260.0,7141
436765.0,277.9729,274.52,279.27,281.375,273.18,6783
541779.0,280.6696,280.67,281.54,285.48,276.765,7988
467758.0,285.1716,277.38,285.38,288.8424,277.121,6054
371094.0,288.2467,286.99,288.6,290.52,286.1,4922
491489.0,294.4783,292.62,294.52,297.45,291.085,5698
320092.0,293.6843,295.65,294.74,304.2802,290.5301,5114
329296.0,293.0894,295.73,293.17,299.2,290.12,4762
333507.0,294.8691,294.0,295.85,296.02,290.83,2964
359069.0,294.9707,297.01,294.57,297.98,293.95,2901
570767.0,293.1832,295.13,293.05,297.6139,289.27,5067
467836.0,288.2739,291.27,287.98,294.57,285.03,5110
538444.0,293.9591,288.87,294.01,295.83,288.55,5084
423206.0,292.771,294.68,292.31,295.5,290.36,6261
383027.0,288.8197,289.64,286.39,291.57,285.95,5593
491287.0,285.5735,285.78,283.99,290.91,282.12,6541
318534.0,290.6413,288.03,295.4,295.75,285.05,5445
474218.0,290.7103,296.0,286.43,299.88,283.64,6169
456124.0,281.8884,286.42,282.99,286.69,276.2,7204
414802.0,290.85,284.05,290.99,294.85,283.15,6083
609402.0,280.4109,291.43,279.11,291.44,276.59,8806
506365.0,277.8961,280.8,278.07,284.44,274.23,7457
389071.0,283.1024,277.93,288.53,289.23,275.39,6095
342970.0,292.8393,290.38,292.13,297.0,290.315,5387
335208.0,287.1921,290.16,286.22,294.075,282.37,4935
315599.0,290.7191,289.09,288.12,294.25,287.71,5048
594877.0,298.6613,292.6,300.28,301.17,290.26,8281
317194.0,298.0755,300.4,296.4,302.94,295.276,4787
320650.0,297.8325,297.53,296.94,299.58,295.59,5132
268235.0,296.6301,298.88,296.74,301.2877,293.845,4686
311971.0,296.7709,298.0,296.32,299.99,294.68,6345
552220.0,301.6927,298.06,304.43,305.77,294.28,6687
