Date,Open,High,Low,Close
2023-06-01,3.647,3.69,3.576,3.6
2023-05-31,3.692,3.694,3.615,3.647
2023-05-30,3.806,3.806,3.687,3.692
2023-05-26,3.822,3.855,3.78,3.806
2023-05-25,3.75,3.826,3.733,3.822
2023-05-24,3.701,3.751,3.667,3.75
2023-05-23,3.715,3.759,3.69,3.701
2023-05-22,3.683,3.725,3.644,3.715
2023-05-19,3.651,3.724,3.62,3.683
2023-05-18,3.569,3.658,3.554,3.651
2023-05-17,3.542,3.591,3.513,3.569
2023-05-16,3.507,3.575,3.461,3.542
2023-05-15,3.468,3.51,3.458,3.507
2023-05-12,3.389,3.475,3.369,3.468
2023-05-11,3.445,3.446,3.343,3.389
2023-05-10,3.521,3.528,3.431,3.445
2023-05-09,3.513,3.53,3.48,3.521
2023-05-08,3.44,3.522,3.425,3.513
2023-05-05,3.385,3.466,3.372,3.44
2023-05-04,3.343,3.544,3.292,3.385
2023-05-03,3.429,3.544,3.341,3.343
2023-05-02,3.572,3.572,3.422,3.429
2023-05-01,3.422,3.595,3.422,3.572
2023-04-28,3.525,3.552,3.422,3.422
2023-04-27,3.45,3.538,3.405,3.525
2023-04-26,3.402,3.459,3.378,3.45
2023-04-25,3.496,3.539,3.383,3.402
2023-04-24,3.577,3.577,3.494,3.496
2023-04-21,3.538,3.58,3.507,3.577
2023-04-20,3.594,3.613,3.528,3.538
2023-04-19,3.578,3.639,3.578,3.594
2023-04-18,3.606,3.607,3.558,3.578
2023-04-17,3.52,3.607,3.507,3.606
2023-04-14,3.446,3.539,3.424,3.52
2023-04-13,3.401,3.458,3.373,3.446
2023-04-12,3.428,3.461,3.34,3.401
2023-04-11,3.417,3.454,3.386,3.428
2023-04-10,3.405,3.433,3.356,3.417
2023-04-07,3.307,3.407,3.279,3.405
2023-04-06,3.313,3.362,3.262,3.307
2023-04-05,3.342,3.376,3.274,3.313
2023-04-04,3.418,3.483,3.335,3.342
2023-04-03,3.471,3.547,3.4,3.418
2023-03-31,3.553,3.59,3.471,3.471
2023-03-30,3.573,3.598,3.537,3.553
2023-03-29,3.567,3.611,3.537,3.573
2023-03-28,3.537,3.576,3.502,3.567
2023-03-27,3.376,3.547,3.372,3.537
2023-03-24,3.422,3.427,3.289,3.376
2023-03-23,3.444,3.52,3.379,3.422
2023-03-22,3.609,3.646,3.442,3.444
2023-03-21,3.486,3.611,3.443,3.609
2023-03-20,3.43,3.519,3.301,3.486
2023-03-17,3.584,3.595,3.377,3.43
2023-03-16,3.466,3.585,3.368,3.584
2023-03-15,3.69,3.709,3.39,3.466
2023-03-14,3.577,3.692,3.467,3.69
2023-03-13,3.705,3.75,3.433,3.577
2023-03-10,3.911,3.911,3.682,3.705
2023-03-09,3.992,4.018,3.898,3.911
2023-03-08,3.97,4.01,3.904,3.992
2023-03-07,3.965,4.002,3.929,3.97
2023-03-06,3.96,3.987,3.9,3.965
2023-03-03,4.062,4.072,3.958,3.96
2023-03-02,3.995,4.088,3.99,4.062
2023-03-01,3.924,4.011,3.913,3.995
2023-02-28,3.918,3.976,3.904,3.924
2023-02-27,3.953,3.98,3.9,3.918
2023-02-24,3.883,3.974,3.857,3.953
2023-02-23,3.925,3.976,3.87,3.883
2023-02-22,3.956,3.965,3.895,3.925
2023-02-21,3.822,3.962,3.822,3.956
2023-02-20,3.822,3.822,3.822,3.822
2023-02-17,3.862,3.922,3.782,3.822
2023-02-16,3.807,3.867,3.764,3.862
2023-02-15,3.753,3.822,3.725,3.807
2023-02-14,3.705,3.793,3.636,3.753
2023-02-13,3.738,3.753,3.677,3.705
2023-02-10,3.663,3.746,3.659,3.738
2023-02-09,3.621,3.687,3.576,3.663
2023-02-08,3.677,3.69,3.621,3.621
2023-02-07,3.645,3.689,3.599,3.677
2023-02-06,3.524,3.654,3.524,3.645
2023-02-03,3.398,3.546,3.364,3.524
2023-02-02,3.424,3.425,3.337,3.398
2023-02-01,3.512,3.52,3.389,3.424
2023-01-31,3.538,3.554,3.488,3.512
2023-01-30,3.512,3.573,3.495,3.538
2023-01-27,3.497,3.566,3.497,3.512
2023-01-26,3.448,3.515,3.435,3.497
2023-01-25,3.46,3.482,3.422,3.448
2023-01-24,3.521,3.549,3.46,3.46
2023-01-23,3.48,3.544,3.468,3.521
2023-01-20,3.4,3.497,3.395,3.48
2023-01-19,3.373,3.427,3.32,3.4
2023-01-18,3.549,3.559,3.369,3.373
2023-01-17,3.505,3.581,3.502,3.549
2023-01-13,3.446,3.513,3.428,3.505
2023-01-12,3.541,3.577,3.422,3.446
2023-01-11,3.621,3.621,3.532,3.541
2023-01-10,3.539,3.636,3.522,3.621
2023-01-09,3.563,3.612,3.511,3.539
2023-01-06,3.719,3.749,3.552,3.563
2023-01-05,3.687,3.783,3.687,3.719
2023-01-04,3.746,3.764,3.672,3.687
2023-01-03,3.88,3.88,3.728,3.746
