volume,volume_weighted_average_price,open,close,high,low,number_of_transactions
1.650159e6,49.1256,49.5,49.11,49.59,48.86,11816
1.496951e6,49.8003,49.26,49.94,50.02,49.23,9200
1.478629e6,50.0605,50.08,50.07,50.3,49.8,9270
1.351844e6,50.4677,50.05,50.44,50.76,50.05,8040
1.41435e6,50.4617,50.46,50.39,50.63,50.35,10445
1.454174e6,49.6232,50.09,49.79,50.19,49.0482,10440
1.666554e6,49.436,49.72,49.37,49.9,49.25,11695
1.395617e6,49.1225,49.49,49.02,49.54,48.965,10792
2.436171e6,49.4062,49.45,49.25,49.92,49.21,15376
2.05799e6,49.8515,49.55,49.85,50.11,49.48,14940
1.444242e6,49.5463,49.82,49.47,50.04,49.39,9996
1.714011e6,49.9086,49.67,49.91,50.12,49.67,11797
1.893042e6,50.008,49.77,50.11,50.11,49.69,12795
1.685425e6,49.7571,49.93,49.86,49.97,49.57,11550
2.650288e6,49.2201,49.9,49.11,50.02,49.01,21481
2.100979e6,49.3419,49.2,49.34,49.57,49.01,15158
2.211635e6,48.9222,49.07,49.11,49.13,48.68,16266
1.726211e6,49.0897,49.03,48.93,49.38,48.92,13632
1.774994e6,49.1501,48.88,49.1,49.45,48.68,14796
2.764189e6,48.9668,49.03,48.85,49.39,48.635,16817
2.365779e6,48.6556,48.91,48.49,49.03,48.43,16942
5.484618e6,46.6289,48.14,46.33,48.14,46.13,36922
4.838948e6,47.747,46.62,47.42,48.79,46.62,39717
5.140057e6,47.9612,46.91,47.87,48.965,46.74,38029
4.35506e6,48.0618,48.38,47.37,48.84,47.35,34433
2.372899e6,47.5826,47.46,47.38,48.01,47.05,21739
3.865086e6,48.3336,47.87,48.56,48.84,47.46,33008
2.084059e6,48.7023,48.68,48.63,49.29,48.16,19299
1.605001e6,48.6632,48.5,48.64,48.88,48.44,12937
1.352397e6,48.7583,48.44,48.88,49.06,48.29,12600
1.63696e6,49.2652,49.01,49.71,49.72,48.42,14073
3.294758e6,49.7871,49.57,49.78,50.0,49.46,13004
2.136243e6,48.5937,49.42,48.38,49.625,48.33,17000
1.847256e6,48.2267,48.34,47.94,48.79,47.94,14327
1.566228e6,48.2094,48.04,48.17,48.58,47.99,12808
1.962878e6,48.8474,48.3,49.12,49.18,48.0,15306
2.189399e6,49.9504,49.37,49.99,50.2605,49.18,16732
2.907539e6,49.8447,49.89,49.47,50.53,49.46,20155
2.481831e6,49.4332,49.74,49.19,49.77,49.19,19001
2.555835e6,49.1615,49.1,49.09,49.73,48.66,23130
1.845076e6,49.6581,48.98,50.03,50.05,48.98,15353
2.105017e6,50.3424,49.99,50.42,50.65,49.93,16431
1.624708e6,50.4968,50.41,50.77,50.81,49.9402,12206
2.043553e6,50.0723,50.55,49.96,50.59,49.86,15887
1.396524e6,50.7545,49.97,50.98,51.0,49.88,10536
