volume,volume_weighted_average_price,open,close,high,low,number_of_transactions
1.921396e6,77.4372,77.11,77.48,77.66,77.11,14413
1.994797e6,78.3476,78.0,78.25,78.83,77.81,15310
1.642779e6,77.9405,78.53,78.16,78.53,77.34,14228
1.762481e6,77.6731,78.16,77.57,78.19,77.44,13257
2.306128e6,78.1285,77.83,78.24,78.415,77.41,17478
2.490936e6,79.4305,78.41,79.47,79.91,78.38,19426
1.951197e6,79.9314,79.75,80.36,80.38,79.435,15589
2.078513e6,80.5826,80.86,80.51,81.0,80.22,15062
1.985157e6,79.3488,81.0,78.94,81.23,78.56,16636
2.441267e6,78.8484,79.3,78.93,79.3,78.37,19148
1.701067e6,78.4577,79.07,78.22,79.14,78.12,14293
4.342583e6,77.8527,78.18,78.32,78.39,77.12,28601
1.818216e6,78.3743,78.09,78.87,78.905,77.83,16727
2.866931e6,78.4486,78.53,78.72,78.96,77.6,20899
3.211028e6,78.9029,78.97,78.74,79.53,78.34,25819
3.049362e6,80.0068,78.28,80.3,81.25,78.05,25301
2.365565e6,80.2361,80.51,80.98,80.99,79.44,19908
2.015595e6,81.5168,80.75,81.31,81.93,80.75,18985
1.775653e6,80.1886,81.44,79.72,81.44,79.72,16857
1.701063e6,80.0789,80.32,79.8,80.69,79.69,13812
2.121246e6,80.3547,79.51,80.62,80.8,79.31,17046
2.176304e6,79.7719,80.45,78.97,80.84,78.85,17180
2.659631e6,76.7438,77.79,74.88,79.33,74.5,24192
3.309326e6,75.1199,73.07,76.14,76.34,71.31,28655
1.855079e6,76.9487,75.67,76.63,77.57,75.67,18816
2.846024e6,74.0711,76.72,72.4,76.72,72.331,24824
3.052443e6,73.3164,73.27,74.11,74.74,71.6,29565
2.100465e6,75.8976,74.9,75.95,76.84,74.58,16885
1.764569e6,76.1667,75.62,76.5,76.53,75.27,14573
1.847406e6,77.1829,76.26,77.61,77.74,76.13,15852
2.180228e6,78.5686,78.33,78.57,79.27,78.1,20066
2.138357e6,79.5657,78.35,79.53,80.09,78.35,18630
2.271816e6,79.7075,79.11,79.63,80.22,79.01,19505
2.668093e6,79.5882,79.08,78.59,80.45,78.52,24587
2.22334e6,78.115,79.0,77.75,79.17,77.6,18836
1.307739e6,79.1103,78.32,79.42,79.45,78.13,11157
2.055884e6,79.7995,79.47,80.43,80.49,78.95,15629
2.021889e6,80.2601,80.5,79.56,81.34,79.56,16649
2.172242e6,79.5806,80.0,78.83,80.76,78.81,17288
4.146302e6,76.6591,78.64,75.21,79.34,74.6325,37467
2.470473e6,75.1544,74.81,75.84,75.96,74.24,22494
1.829231e6,76.6849,75.37,77.07,77.38,74.9,14112
1.708546e6,76.5386,77.18,76.81,77.435,75.78,15760
1.633544e6,76.3167,75.79,76.63,76.76,75.52,14780
1.324202e6,76.7302,76.91,77.1,77.285,76.01,12111
2.943267e6,77.9921,77.77,78.42,78.49,77.2,20325
1.640817e6,78.3765,78.62,78.15,78.82,78.04,16368
2.28335e6,77.5914,78.65,77.33,78.65,77.02,17517
1.999364e6,76.6881,77.78,76.46,77.815,76.14,18277
2.48041e6,75.4165,76.73,75.37,76.88,74.88,21982
3.233687e6,76.4992,75.72,76.54,77.01,75.38,15891
2.02142e6,75.9516,76.4,76.04,76.74,75.17,18229
2.218223e6,75.7798,76.26,75.36,76.48,75.3,20507
2.9924e6,75.3982,75.38,74.86,76.04,74.83,28408
2.602447e6,72.975,74.28,71.89,74.77,71.75,25254
2.715717e6,71.1418,72.14,70.07,72.675,69.98,24247
1.809892e6,71.2814,71.02,71.79,72.01,70.26,17754
2.404106e6,71.2332,72.19,70.23,72.51,69.67,24106
2.812069e6,70.3277,70.29,70.28,71.09,69.55,23675
2.655641e6,71.5423,70.4,71.93,72.08,70.11,17280
2.496644e6,69.6736,71.41,69.58,71.53,68.56,26034
2.394701e6,70.1366,69.98,70.6,70.64,69.09,21943
2.139259e6,71.1287,69.27,71.69,71.88,69.1,19863
1.836887e6,72.0824,72.09,72.13,72.63,71.55,14577
1.509895e6,70.618,71.31,70.34,71.8,69.68,14624
1.374189e6,71.4101,71.19,70.67,72.32,70.58,13418
1.695842e6,71.8865,71.81,71.9,72.27,71.28,16343
1.294086e6,71.1651,70.97,70.9,71.85,70.73,11291
1.50832e6,71.7485,71.4,71.61,72.25,71.3,15029
