firm,μ,σ
1,-0.08226918499445922,0.12263173544815
2,0.044197457484259066,0.1294526040991298
3,0.1511490721560318,0.12043974831968257
4,0.11859563392365816,0.1296271686803848
6,0.17869526112758444,0.12549426922662357
7,0.07458442989808375,0.1386311956345907
8,0.16160742522960872,0.12242588778721712
9,0.17139244260865355,0.13914740589275504
10,0.08909689255007619,0.1391148406224725
11,0.4604844557462567,0.17184156983597781
12,0.1633325962695213,0.14266941597279656
13,0.06721639273713574,0.13106368032063753
14,0.2004177101488843,0.12717530843576452
15,0.12471287024556926,0.12148501830144971
16,0.09387538879240866,0.12842065647399833
17,-0.06765895007685892,0.16443342065855313
18,0.27207771512448187,0.1642125625858064
19,0.0796147910813964,0.12053361333969123
20,0.09136516784005305,0.17279392293232199
21,0.07478167999835941,0.13149758779137602
22,0.0789944641002609,0.1152713327255896
23,0.07784170668220311,0.12485450274636413
24,0.21054431029623022,0.12796030175574033
25,0.21411349356183657,0.12799663498762767
26,-0.05267356977035484,0.12485272099198627
27,0.14474094167692714,0.13818268857509083
29,0.08793339220188605,0.11582797200646634
30,-0.25054190251120273,0.18843107923960373
31,0.05771609404605123,0.1154885465327242
32,0.12052496933670666,0.14396569634331868
33,0.017760838771933383,0.15238355642152251
34,0.12298297259821539,0.12293699851034366
35,0.15148904836233912,0.11920347137090423
36,0.19531079723436243,0.14648650380486067
37,0.13612107391806502,0.1304449250408611
38,0.1483732057408074,0.12653143721425977
39,0.07107818789202262,0.11834595013057381
40,0.1430258988703411,0.12327657261421171
41,0.14864778170231416,0.13454045676662252
42,0.15307115710394675,0.13500600737139754
44,0.17028908023062966,0.11977399834815892
45,-0.035373244242507706,0.20662942188241504
46,0.33739042950253817,0.13195713860775887
47,0.26861364146998856,0.15632248174291669
48,0.09901096753339308,0.16253888237891917
49,0.1580714805638841,0.15576123389626892
50,0.2307107380361047,0.11724009863785338
51,0.13069005808627554,0.1277403968003108
52,-0.12254959179056864,0.12441650676471215
53,0.03771294852254718,0.11515766970638831
54,0.14924831452967316,0.14992820772041007
55,0.13585220530800807,0.12181328454209425
56,0.2569713364096769,0.12628256540670305
57,0.03654749951224591,0.12567069591435484
58,0.1614720558589377,0.13181104951528658
61,0.07099915517461396,0.13924230352586947
63,-0.012612833734760872,0.11890757839317709
64,0.011796460603221799,0.1160724140961561
65,0.10534162803743341,0.11083243632408657
66,0.07350377507159465,0.1520347434482917
67,0.19510506902804295,0.13730372236232874
68,0.24176060876330693,0.13492464398309842
70,0.12755860306957942,0.13522168641439802
71,-0.02241637949493792,0.13308706303230727
